name,rating,date,sentiment,Scores,comment
Stevo,5.0 out of 5 stars,"Reviewed in the United States on January 23, 2024",Positive,"{'Negative': 0.0017236401, 'Neutral': 0.0099633895, 'Positive': 0.988313}",Bought this iPhone here at Amazon. It is in perfect condition. Use it every day. No problems at all. Perfect condition at a cheaper price. I highly recommend this seller!
Assam A.,5.0 out of 5 stars,"Reviewed in the United States on February 8, 2024",Positive,"{'Negative': 0.0058939243, 'Neutral': 0.053845424, 'Positive': 0.94026065}","Product is literally like new not a single scratch, battery at 100% which Is essential to me considering the fact your paying for 1tb model in excellent condition. Secure packaging with charger and 90 day warranty. Overall exceptional service 👌"
CBF Services,4.0 out of 5 stars,"Reviewed in the United States on January 10, 2024",Positive,"{'Negative': 0.0014989673, 'Neutral': 0.019232925, 'Positive': 0.9792681}",Good deal for a new version.  Working nicely right out of the box.  Easy transfer wireless set up apple 12  to 15.
Artyom,5.0 out of 5 stars,"Reviewed in the United States on February 3, 2024",Positive,"{'Negative': 0.0017519862, 'Neutral': 0.019525398, 'Positive': 0.97872263}",Although it's renewed but looks new. The battery health is 100%. Not a single scratch or other signs of usage. Happy with this phone.
Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on February 10, 2024",Negative,"{'Negative': 0.98380697, 'Neutral': 0.013905778, 'Positive': 0.002287341}",I paid $1000 for this piece of crap. The setup procedure doesn't work. I cannot emphasize enough what a waste of time and money this iphone is. Don't buy it. Don't buy it. Don't buy it.
Eliezer,5.0 out of 5 stars,"Reviewed in the United States on February 6, 2024",Positive,"{'Negative': 0.005135982, 'Neutral': 0.09909387, 'Positive': 0.89577013}","Excellent condition, just a minor imperfection but expected as the phone was renewed.Came with a USB-Cable, Charger and case.iPhone 15 Pro."
Mirna,5.0 out of 5 stars,"Reviewed in the United States on February 4, 2024",Positive,"{'Negative': 0.0020016036, 'Neutral': 0.05366212, 'Positive': 0.9443363}",Phone came looking new. Battery health is at 100% too.
Placeholder,5.0 out of 5 stars,"Reviewed in the United States on January 31, 2024",Positive,"{'Negative': 0.0013472594, 'Neutral': 0.0082157375, 'Positive': 0.990437}","Bought the iPhone 15 pro 1TB unlocked in excellent condition. I just review the phone and it is brand new! The phone shows 0 battery cycles. Incredibly happy with my purchase, no issues at all."
Michael,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Positive,"{'Negative': 0.0023414388, 'Neutral': 0.010941922, 'Positive': 0.9867166}","I wasn’t expecting it to come nearly indistinguishable from a new phone, but it absolutely did. It had a total of 8 cycle counts, which is pretty great. It was shipped out the day I ordered it and came quickly. No scratches, chips, or anything of that sort. I’m pretty happy overall."
Mario Q.,4.0 out of 5 stars,"Reviewed in the United States on February 13, 2024",Negative,"{'Negative': 0.5048005, 'Neutral': 0.33195403, 'Positive': 0.16324544}",The phone is apparently in good condition. The cable and charger are terrible.
